candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
allocation_noGoldEquiv,1984-12,2014-11,1980s,31.3828,12.173,28.63
A_Current,1985-01,2014-12,1980s,37.0217,12.793,47.78
G15_noGoldEquiv,1985-01,2014-12,1980s,19.7189,10.449,28.32
allocation_noGoldEquiv,1985-01,2014-12,1980s,32.0542,12.253,28.13
A_Current,1985-02,2015-01,1980s,33.8205,12.453,48.14
G15_noGoldEquiv,1985-02,2015-01,1980s,18.4877,10.212,29.21
allocation_noGoldEquiv,1985-02,2015-01,1980s,30.2090,12.031,28.81
A_Current,1985-03,2015-02,1980s,34.1621,12.491,47.83
G15_noGoldEquiv,1985-03,2015-02,1980s,18.9481,10.303,28.48
allocation_noGoldEquiv,1985-03,2015-02,1980s,30.6861,12.089,28.59
A_Current,1985-04,2015-03,1980s,34.3647,12.513,48.07
G15_noGoldEquiv,1985-04,2015-03,1980s,19.1556,10.343,28.58
allocation_noGoldEquiv,1985-04,2015-03,1980s,31.0899,12.138,29.59
A_Current,1985-05,2015-04,1980s,33.6258,12.432,47.94
G15_noGoldEquiv,1985-05,2015-04,1980s,18.1734,10.149,28.04
allocation_noGoldEquiv,1985-05,2015-04,1980s,29.7927,11.979,29.10
A_Current,1985-06,2015-05,1980s,32.5009,12.304,47.79
G15_noGoldEquiv,1985-06,2015-05,1980s,17.1392,9.934,27.52
allocation_noGoldEquiv,1985-06,2015-05,1980s,28.4482,11.807,28.66
A_Current,1985-07,2015-06,1980s,31.4984,12.187,47.83
G15_noGoldEquiv,1985-07,2015-06,1980s,16.5461,9.805,28.01
allocation_noGoldEquiv,1985-07,2015-06,1980s,27.5359,11.685,29.08
A_Current,1985-08,2015-07,1980s,30.1655,12.026,48.15
G15_noGoldEquiv,1985-08,2015-07,1980s,16.2291,9.734,28.51
allocation_noGoldEquiv,1985-08,2015-07,1980s,27.0145,11.614,29.57
A_Current,1985-09,2015-08,1980s,29.6396,11.960,48.20
G15_noGoldEquiv,1985-09,2015-08,1980s,16.0125,9.685,28.53
allocation_noGoldEquiv,1985-09,2015-08,1980s,26.6793,11.568,29.57
A_Current,1985-10,2015-09,1980s,29.4076,11.931,48.29
G15_noGoldEquiv,1985-10,2015-09,1980s,16.1167,9.709,28.96
allocation_noGoldEquiv,1985-10,2015-09,1980s,26.6370,11.562,29.94
A_Current,1985-11,2015-10,1980s,30.3404,12.047,48.30
G15_noGoldEquiv,1985-11,2015-10,1980s,16.1818,9.724,29.24
allocation_noGoldEquiv,1985-11,2015-10,1980s,26.9918,11.611,28.78
A_Current,1985-12,2015-11,1980s,29.3627,11.925,48.17
G15_noGoldEquiv,1985-12,2015-11,1980s,15.7971,9.636,29.05
allocation_noGoldEquiv,1985-12,2015-11,1980s,26.3534,11.522,28.63
A_Current,1986-01,2015-12,1980s,27.3289,11.657,47.78
G15_noGoldEquiv,1986-01,2015-12,1980s,15.2237,9.501,28.32
allocation_noGoldEquiv,1986-01,2015-12,1980s,25.3139,11.373,28.13
A_Current,1986-02,2016-01,1980s,25.0975,11.341,48.14
G15_noGoldEquiv,1986-02,2016-01,1980s,14.3644,9.289,29.21
allocation_noGoldEquiv,1986-02,2016-01,1980s,23.9297,11.164,28.81
A_Current,1986-03,2016-02,1980s,23.8982,11.159,47.83
G15_noGoldEquiv,1986-03,2016-02,1980s,13.8708,9.162,28.48
allocation_noGoldEquiv,1986-03,2016-02,1980s,23.2726,11.061,28.59
A_Current,1986-04,2016-03,1980s,24.1845,11.203,48.07
G15_noGoldEquiv,1986-04,2016-03,1980s,13.8770,9.163,28.58
allocation_noGoldEquiv,1986-04,2016-03,1980s,23.4631,11.091,29.59
A_Current,1986-05,2016-04,1980s,24.2948,11.220,47.94
G15_noGoldEquiv,1986-05,2016-04,1980s,13.4649,9.054,28.04
allocation_noGoldEquiv,1986-05,2016-04,1980s,22.8753,10.997,29.10
A_Current,1986-06,2016-05,1980s,23.8230,11.148,47.79
G15_noGoldEquiv,1986-06,2016-05,1980s,13.1691,8.973,27.52
allocation_noGoldEquiv,1986-06,2016-05,1980s,22.3254,10.907,28.66
A_Current,1986-07,2016-06,1980s,23.1914,11.048,47.83
G15_noGoldEquiv,1986-07,2016-06,1980s,12.7868,8.866,28.01
allocation_noGoldEquiv,1986-07,2016-06,1980s,21.6994,10.802,29.08
A_Current,1986-08,2016-07,1980s,24.5863,11.264,48.15
G15_noGoldEquiv,1986-08,2016-07,1980s,13.3059,9.010,28.51
allocation_noGoldEquiv,1986-08,2016-07,1980s,22.6067,10.954,29.57
A_Current,1986-09,2016-08,1980s,24.2980,11.221,48.20
